No.,IO_Type,Output Driving Mode,Single/Differential,Drive,All Output Drive Support,DIFFDrive,OpenDrain,SlewRate,PCIClamp,VREF,HYSTERESIS,PullMode,SingleResistor(bank 0/2),SingleResistor(bank 1/3),DIFFResistor(bank 1/2/3),DIFFResistor(bank 0),BANK VREF,BANKS,BANK VCCIO,Mark
1,LVDS25,True LVDS,Differential,N/A,N/A,3.5/2.5/2/1.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5/3.3,
2,RSDS,True LVDS,,N/A,N/A,2/3.5/2.5/1.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5/3.3,
3,MINILVDS,True LVDS,,N/A,N/A,2/3.5/2.5/1.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5/3.3,
4,PPLVDS,True LVDS,,N/A,N/A,3.5/2.5/2/1.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5/3.3,
5,LVDS25E,"Voltage(Based on LVCMOS_diff)",,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5,
6,BLVDS25E,,,16,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5,
7,MLVDS25E,,,16,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5,
8,RSDS25E,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,2.5,
9,LVPECL33E,,,16,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,3.3,
10,HSTL15D_I,,,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,
11,HSTL18D_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
12,HSTL18D_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
13,SSTL15D,,,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,
14,SSTL18D_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
15,SSTL18D_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
16,SSTL25D_I,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,
17,SSTL25D_II,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,
18,SSTL33D_I,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,
19,SSTL33D_II,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,
20,LVCMOS12D,,,8/4,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.2,
21,LVCMOS15D,,,8/4,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,
22,LVCMOS18D,,,8/12/4,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
23,LVCMOS25D,,,8/16/12/4,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,
24,LVCMOS33D,,,8/24/16/12/4,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,
25,HSTL15_I,"Voltage(Based on LVCMOS)",Single,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,
26,HSTL18_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
27,HSTL18_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
28,SSTL15,,,8,24/20/16/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,
29,SSTL18_I,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
30,SSTL18_II,,,8,16/24/20/12/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
31,SSTL25_I,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,
32,SSTL25_II,,,8,12/24/20/16/8/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,
33,SSTL33_I,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,
34,SSTL33_II,,,8,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,
35,LVCMOS12,,,8/4,24/20/16/12/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.2,
36,LVCMOS15,,,8/4,24/20/16/12/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.5,
37,LVCMOS18,,,8/12/4,16/24/20/12/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,1.8,
38,LVCMOS25,,,8/16/12/4,12/24/20/16/8/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,2.5,
39,LVCMOS33/LVTTL33,,,8/24/16/12/4,8/24/20/16/12/4,N/A,OFF/ON,FAST/SLOW,N/A,N/A,N/A,UP/DOWN/KEEPER/NONE,N/A,OFF/ON,N/A,N/A,N/A,ALL,3.3,
40,PCI33,,,8/4,8/24/20/16/12/4,N/A,N/A,FAST/SLOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALL,3.3,
"Marks: N/A means this feature is prohibited to set when this IO type is selected, default vaule is as follow",,,,N/A=OFF,N/A=OFF,N/A=OFF,N/A=OFF,N/A=SLOW,N/A=OFF,N/A=OFF,N/A=NONE,N/A=NONE,N/A=OFF,N/A=OFF,N/A=OFF,N/A=OFF,N/A=OFF,,,
